nome_mun;CD_GEOCODI;cod_rgi;nome_rgi;cod_rgint;nome_rgint;uf;ufnome;localizacao;idhm;pop_urbana;KgFrioUF;POFKgmes;POF_FC;AFCMes;PalleteMes;CapEstNepp;CapEstNem3;lat;lon
Alta Floresta DOeste;1100015;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Alta Floresta DOesteRO;0,641;13970;107;107;139;161981;202;135;1080;-11,9287293;-61,9958651
Ariquemes;1100023;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;AriquemesRO;0,702;76525;107;107;139;887301;1109;739;5915;-9,9061087;-63,0330263
Cabixi;1100031;110006;Vilhena;1102;Ji Parana;RO; Rondonia;CabixiRO;0,65;2693;107;107;139;31225;39;26;208;-13,4623774;-60,6285091
Cacoal;1100049;110005;Cacoal;1102;Ji Parana;RO; Rondonia;CacoalRO;0,718;61921;107;107;139;717969;897;598;4786;-11,434693;-61,4566885
Cerejeiras;1100056;110006;Vilhena;1102;Ji Parana;RO; Rondonia;CerejeirasRO;0,692;14419;107;107;139;167187;209;139;1115;-13,2109867;-61,2801996
Colorado do Oeste;1100064;110006;Vilhena;1102;Ji Parana;RO; Rondonia;Colorado do OesteRO;0,685;13657;107;107;139;158352;198;132;1056;-13,1178429;-60,5459451
Corumbiara;1100072;110006;Vilhena;1102;Ji Parana;RO; Rondonia;CorumbiaraRO;0,613;2590;107;107;139;30031;38;25;200;-12,9986334;-60,9460084
Costa Marques;1100080;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Costa MarquesRO;0,611;7497;107;107;139;86927;109;72;580;-12,4380262;-64,2268052
Espigao DOeste;1100098;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Espigao DOesteRO;0,672;20610;107;107;139;238971;299;199;1593;-11,5323149;-61,0169967
Guajara Mirim;1100106;110001;Porto Velho;1101;Porto Velho;RO; Rondonia;Guajara MirimRO;0,617;35207;107;107;139;408222;510;340;2721;-10,789321;-65,3301049
Jaru;1100114;110003;Jaru;1101;Porto Velho;RO; Rondonia;JaruRO;0,689;35118;107;107;139;407190;509;339;2715;-10,4322235;-62,4792921
Ji Parana;1100122;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Ji ParanaRO;0,649;104858;107;107;139;1215820;1520;1013;8105;-10,8781412;-61,9326728
Machadinho DOeste;1100130;110003;Jaru;1101;Porto Velho;RO; Rondonia;Machadinho DOesteRO;0,596;16173;107;107;139;187525;234;156;1250;-9,2306221;-61,8877321
Nova Brasilandia DOeste;1100148;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Nova Brasilandia DOesteRO;0,643;8380;107;107;139;97165;121;81;648;-11,725083;-62,3131895
Ouro Preto do Oeste;1100155;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Ouro Preto do OesteRO;0,682;28180;107;107;139;326745;408;272;2178;-10,6008331;-62,3095833
Pimenta Bueno;1100189;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Pimenta BuenoRO;0,71;29417;107;107;139;341088;426;284;2274;-11,6723638;-61,1984811
Porto Velho;1100205;110001;Porto Velho;1101;Porto Velho;RO; Rondonia;Porto VelhoRO;0,736;390733;107;107;139;4530517;5663;3775;30203;-8,7611605;-63,9004303
Presidente Medici;1100254;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Presidente MediciRO;0,664;13303;107;107;139;154247;193;129;1028;-11,0811465;-61,7941232
Rio Crespo;1100262;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;Rio CrespoRO;0,643;1064;107;107;139;12337;15;10;82;-9,6681036;-62,7794229
Rolim de Moura;1100288;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Rolim de MouraRO;0,7;41429;107;107;139;480366;600;400;3202;-11,7257556;-61,7781519
Santa Luzia DOeste;1100296;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Santa Luzia DOesteRO;0,599;12591;107;107;139;145992;182;122;973;-11,9071996;-61,7784821
Vilhena;1100304;110006;Vilhena;1102;Ji Parana;RO; Rondonia;VilhenaRO;0,731;72218;107;107;139;837362;1047;698;5582;-12,7414031;-60,1304566
Sao Miguel do Guapore;1100320;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Sao Miguel do GuaporeRO;0,591;8470;107;107;139;98209;123;82;655;-11,6939069;-62,7144846
Nova Mamore;1100338;110001;Porto Velho;1101;Porto Velho;RO; Rondonia;Nova MamoreRO;0,587;13067;107;107;139;151511;189;126;1010;-10,4106668;-65,3305851
Alvorada DOeste;1100346;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Alvorada DOesteRO;0,708;7338;107;107;139;85083;106;71;567;-11,3480881;-62,28777
Alto Alegre dos Parecis;1100379;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Alto Alegre dos ParecisRO;0,592;3657;107;107;139;42403;53;35;283;-12,1326079;-61,8566786
Alto Paraiso;1100403;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;Alto ParaisoRO;0,625;8202;107;107;139;95102;119;79;634;-9,7205291;-63,3188117
Buritis;1100452;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;BuritisRO;0,616;18122;107;107;139;210123;263;175;1401;-10,1269585;-63,8640569
Novo Horizonte do Oeste;1100502;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Novo Horizonte do OesteRO;0,634;1733;107;107;139;20094;25;17;134;-11,6485814;-62,1219725
Cacaulandia;1100601;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;CacaulandiaRO;0,646;2069;107;107;139;23990;30;20;160;-10,3716856;-62,9205918
Campo Novo de Rondonia;1100700;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;Campo Novo de RondoniaRO;0,593;3371;107;107;139;39086;49;33;261;-10,4557067;-63,8640569
Candeias do Jamari;1100809;110001;Porto Velho;1101;Porto Velho;RO; Rondonia;Candeias do JamariRO;0,649;12887;107;107;139;149424;187;125;996;-8,7975498;-63,4862036
Castanheiras;1100908;110005;Cacoal;1102;Ji Parana;RO; Rondonia;CastanheirasRO;0,658;836;107;107;139;9693;12;8;65;-11,4139048;-61,943236
Chupinguaia;1100924;110006;Vilhena;1102;Ji Parana;RO; Rondonia;ChupinguaiaRO;0,652;3663;107;107;139;42472;53;35;283;-12,5557924;-60,9029619
Cujubim;1100940;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;CujubimRO;0,612;11043;107;107;139;128043;160;107;854;-9,2052569;-62,5443612
Governador Jorge Teixeira;1101005;110003;Jaru;1101;Porto Velho;RO; Rondonia;Governador Jorge TeixeiraRO;0,596;2361;107;107;139;27376;34;23;183;-10,7167414;-63,1089658
Itapua do Oeste;1101104;110001;Porto Velho;1101;Porto Velho;RO; Rondonia;Itapua do OesteRO;0,564;5222;107;107;139;60549;76;50;404;-9,1885166;-63,185581
Ministro Andreazza;1101203;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Ministro AndreazzaRO;0,638;3074;107;107;139;35643;45;30;238;-11,1798553;-61,5603244
Mirante da Serra;1101302;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Mirante da SerraRO;0,643;6444;107;107;139;74718;93;62;498;-11,0289123;-62,6714775
Monte Negro;1101401;110002;Ariquemes;1101;Porto Velho;RO; Rondonia;Monte NegroRO;0,607;7390;107;107;139;85686;107;71;571;-10,2620182;-63,2963286
Nova Uniao;1101435;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Nova UniaoRO;0,662;1541;107;107;139;17868;22;15;119;-10,8641144;-62,4973826
Parecis;1101450;110005;Cacoal;1102;Ji Parana;RO; Rondonia;ParecisRO;0,617;1774;107;107;139;20569;26;17;137;-12,1911639;-61,4202019
Pimenteiras do Oeste;1101468;110006;Vilhena;1102;Ji Parana;RO; Rondonia;Pimenteiras do OesteRO;0,665;1292;107;107;139;14981;19;12;100;-13,064243;-61,7941232
Primavera de Rondonia;1101476;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Primavera de RondoniaRO;0,641;1284;107;107;139;14888;19;12;99;-11,8693904;-61,3035248
Sao Felipe DOeste;1101484;110005;Cacoal;1102;Ji Parana;RO; Rondonia;Sao Felipe DOesteRO;0,649;1444;107;107;139;16743;21;14;112;-11,9079161;-61,4668962
Sao Francisco do Guapore;1101492;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Sao Francisco do GuaporeRO;0,663;8227;107;107;139;95391;119;79;636;-12,0600542;-63,5691831
Seringueiras;1101500;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;SeringueirasRO;0,598;4397;107;107;139;50983;64;42;340;-11,7654562;-63,031406
Teixeiropolis;1101559;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;TeixeiropolisRO;0,643;1716;107;107;139;19897;25;17;133;-10,9460095;-62,2861215
Theobroma;1101609;110003;Jaru;1101;Porto Velho;RO; Rondonia;TheobromaRO;0,589;1978;107;107;139;22935;29;19;153;-10,1576141;-62,3565156
Urupa;1101708;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;UrupaRO;0,609;5137;107;107;139;59563;74;50;397;-11,1242915;-62,3635277
Vale do Anari;1101757;110003;Jaru;1101;Porto Velho;RO; Rondonia;Vale do AnariRO;0,584;3192;107;107;139;37011;46;31;247;-9,8574383;-62,1757236
Vale do Paraiso;1101807;110004;Ji Parana;1102;Ji Parana;RO; Rondonia;Vale do ParaisoRO;0,627;2276;107;107;139;26390;33;22;176;-10,5015572;-62,1219725
Acrelandia;1200013;120001;Rio Branco;1201;Rio Branco;AC;Acre;AcrelandiaAC;0,604;5916;102;102;133;65499;82;55;437;-10,0763918;-67,0586977
Assis Brasil;1200054;120002;Brasileia;1201;Rio Branco;AC;Acre;Assis BrasilAC;0,588;3700;102;102;133;40964;51;34;273;-10,7579579;-69,9550338
